Contexts,generated question
"Obesity With obesity at high rates in the United States, there is a public health focus on reducing obesity and associated health risks, which include diabetes, colon and breast cancer, and cardiovascular disease. How does the food consumed contribute to obesity? Fatty foods are calorie-dense, meaning that they have more calories per unit mass than carbohydrates or proteins. One gram of carbohydrates has four calories, one gram of protein has four calories, and one gram of fat has nine calories. Animals tend to seek lipid-rich food for their higher energy content. Greater amounts of food energy taken in than the body�s requirements will result in storage of the excess in fat deposits. Excess carbohydrate is used by the liver to synthesize glycogen. When glycogen stores are full, additional glucose is converted into fatty acids. These fatty acids are stored in adipose tissue cells�the fat cells in the mammalian body whose primary role is to store fat for later use. The rate of obesity among children is rapidly rising in the United States. To combat childhood obesity and ensure that children get a healthy start in life, in 2010 First Lady Michelle Obama launched the Let�s Move! campaign. The goal of this campaign is to educate parents and caregivers on providing healthy nutrition and encouraging active lifestyles in future generations. This program aims to involve the entire community, including parents, teachers, and healthcare providers to ensure that children have access to healthy foods�more fruits, vegetables, and whole grains�and consume fewer calories from processed foods. Another goal is to ensure that children get physical activity. With the increase in television viewing and stationary pursuits such as video games, sedentary lifestyles have become the norm. Visit www. letsmove. gov to learn more.",How does the food consumed contribute to obesity?
"Human overpopulation, which is crowding out other species. It also makes all the other causes of extinction worse.",What is one negative impact of human overpopulation on other species?
"The second equation is equivalent to the first. Voltage is not the same as energy. Voltage is the energy per unit charge. Thus a motorcycle battery and a car battery can both have the same voltage (more precisely, the same potential difference between battery terminals), yet one stores much more energy than the other since ?PE = q?V . The car battery can move more charge than the motorcycle battery, although both are 12 V batteries.",What is the relationship between voltage and energy in a battery?
"Alloys that are mostly composed of mercury are known as amalgams . Amalgams often have special properties that stem from the fact that mercury exists as a liquid at room temperature. As a result, metal amalgams are used for a variety of purposes, including dentistry and the extraction of other pure metals such as gold.",What are alloys that are mostly composed of mercury known as?
"Ferns are the most common seedless vascular plants ( Figure below ). They usually have large divided leaves called fronds. In most ferns, fronds develop from a curled-up formation called a fiddlehead ( Figure below ). The fiddlehead looks like the curled decoration on the end of a stringed instrument, such as a fiddle. Leaves unroll as the fiddleheads grow and expand. Ferns grow in a variety of habitats, ranging in size from tiny aquatic species to giant tropical plants.",What are the large divided leaves called in ferns?
"Runoff is likely to cause more erosion if the land is bare. Plants help hold the soil in place. The runoff water in Figure below is brown because it eroded soil from a bare, sloping field. Can you find evidence of erosion by runoff where you live? What should you look for?.",What can you look for to find evidence of erosion by runoff?
"A cell wall is a rigid layer that is found outside the cell membrane and surrounds the cell. The cell wall contains not only cellulose and protein, but other polysaccharides as well. In fact, two other classes of polysaccharides, hemicelluloses and pectic polysaccharides, can comprise 30% of the dry mass of the cell wall. The cell wall provides structural support and protection. Pores in the cell wall allow water and nutrients to move into and out of the cell. The cell wall also prevents the plant cell from bursting when water enters the cell.",What is the function of the cell wall?
"The pioneer species is soon replaced by other populations. Abiotic factors such as soil quality, water, and climate will determine the species that continue the process of succession. Mosses and grasses will be able to grow in the newly created soil. During early succession, plant species like grasses that grow and reproduce quickly will take over the landscape. Over time, these plants improve the soil and a few shrubs can begin to grow. Slowly, the shrubs are replaced by small trees. Small trees then are succeeded by larger trees. Since trees are more successful at competing for resources than shrubs and grasses, a forest may be the end result of primary succession.",What determines the species that continue the process of succession in an ecosystem?
"Occurrence, Preparation, and Compounds of Boron and Silicon Boron constitutes less than 0.001% by weight of the earth�s crust. In nature, it only occurs in compounds with oxygen. Boron is widely distributed in volcanic regions as boric acid, B(OH)3, and in dry lake regions, including the desert areas of California, as borates and salts of boron oxyacids, such as borax, Na2B4O7�10H2O. Elemental boron is chemically inert at room temperature, reacting with only fluorine and oxygen to form boron trifluoride, BF3, and boric oxide, B2O3, respectively. At higher temperatures, boron reacts with all nonmetals, except tellurium and the noble gases, and with nearly all metals; it oxidizes to B2O3 when heated with concentrated nitric or sulfuric acid. Boron does not react with nonoxidizing acids. Many boron compounds react readily with water to give boric acid, B(OH)3 (sometimes written as H3BO3). Reduction of boric oxide with magnesium powder forms boron (95�98.5% pure) as a brown, amorphous powder: B 2 O 3(s) + 3Mg(s) ? 2B(s) + 3MgO(s) An amorphous substance is a material that appears to be a solid, but does not have a long-range order like a true solid. Treatment with hydrochloric acid removes the magnesium oxide. Further purification of the boron begins with conversion of the impure boron into boron trichloride. The next step is to heat a mixture of boron trichloride and hydrogen: 1500 �C.",What are the compounds of boron commonly found in nature?
"automobile axle drives a wheel, which has a much larger diameter than the axle. The MA is less than 1. (c) An ordinary pulley is used to lift a heavy load. The pulley changes the direction of the force T exerted by the cord without changing its magnitude. Hence, this machine has an MA of 1.",What is the mechanical advantage of an ordinary pulley?
"Most of the pathogens that cause STIs enter the body through mucous membranes of the reproductive organs. All sexual behaviors that involve contact between mucous membranes put a person at risk for infection. This includes vaginal, anal, and oral sexual behaviors. Many STIs can also be transmitted through body fluids such as blood, semen, and breast milk. Therefore, behaviors such as sharing injection or tattoo needles is another way these STIs can spread.",What are some ways that STIs can be transmitted?
"Vertebrates reproduce sexually, and almost all have separate male and female sexes. Aquatic species generally have external fertilization, whereas terrestrial species usually have internal fertilization. Vertebrates have one of three reproductive strategies, known as ovipary, ovovivipary, or vivipary.",What are the three reproductive strategies of vertebrates called?
"The Sun is Earth�s main source of energy. The Sun gives us both light and heat. The Sun changes hydrogen into helium through nuclear fusion. This releases huge amounts of energy. The energy travels to Earth mostly as visible light. The energy is carried through the empty space by radiation . We can use sunlight as an energy resource, called solar energy.",What is the main source of energy for Earth?
"A cell membrane is essentially a mixture of phospholipids that form a phospholipid bilayer. One definition of a cell is a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself. The simplest cells are bacteria, which consist of only a single compartment surrounded by a single membrane. Animal and plant cells are much more complex, however, and contain many different kinds of compartments, each surrounded by a membrane and able to carry out specialized tasks.",What is a cell membrane made of?
"Introduction Virtually every task performed by living organisms requires energy. Energy is needed to perform heavy labor and exercise, but humans also use energy while thinking, and even during sleep. In fact, the living cells of every organism constantly use energy. Nutrients and other molecules are imported into the cell, metabolized (broken down) and possibly synthesized into new molecules, modified if needed, transported around the cell, and possibly distributed to the entire organism. For example, the large proteins that make up muscles are built from smaller molecules imported from dietary amino acids. Complex carbohydrates are broken down into simple sugars that the cell uses for energy. Just as energy is required to both build and demolish a building, energy is required for the synthesis and breakdown of molecules as well as the transport of molecules into and out of cells. In addition, processes such as ingesting and breaking down pathogenic bacteria and viruses, exporting wastes and toxins, and movement of the cell require energy. From where, and in what form, does this energy come? How do living cells obtain energy, and how do they use it? This chapter will discuss different forms of energy and the physical laws that govern energy transfer. This chapter will also describe how cells use energy and replenish it, and how chemical reactions in the cell are performed with great efficiency.",How do living cells obtain and use energy?
Open clusters are groups of young stars loosely held together by gravity.,What holds together groups of young stars in open clusters?
"Types of organisms that make glucose by photosynthesis are pictured in Figure below . They include plants, plant-like protists such as algae, and some kinds of bacteria. Living things that make glucose are called autotrophs (""self feeders""). All other living things obtain glucose by eating autotrophs (or organisms that eat autotrophs). These living things are called heterotrophs (""other feeders"").",What are living things called that make glucose by photosynthesis?
"Pneumonia is a disease in which some of the alveoli of the lungs fill with fluid so they can no longer exchange gas. Symptoms of pneumonia typically include coughing, chest pain, difficulty breathing, and fatigue. Pneumonia may be caused by an infection or an injury to the lungs.",What are some symptoms of pneumonia?
"The plasma membrane forms a barrier between the cytoplasm inside the cell and the environment outside the cell. It protects and supports the cell and also controls everything that enters and leaves the cell. It allows only certain substances to pass through, while keeping others in or out. The ability to allow only certain molecules in or out of the cell is referred to as selective permeability or semipermeability. To understand how the plasma membrane controls what crosses into or out of the cell, you need to know its composition.",What is the ability of the plasma membrane to allow only certain molecules in or out of the cell called?
"Cnidarians have an incomplete digestive system with a single opening. The opening is surrounded by tentacles, which are covered with nematocyst cells and used to capture prey. Digestion takes place in the digestive cavity. Nutrients are absorbed and gases are exchanged through the cells lining this cavity. Fluid in the cavity supports and stiffens the cnidarian body.",What is the purpose of the digestive cavity in cnidarians?
Nuclear symbols are used to write nuclear equations for radioactive decay. Let�s consider the example of the beta-minus decay of thorium-234 to protactinium-234. This reaction is represented by the equation:.,What are nuclear symbols used for in writing nuclear equations for radioactive decay?
"isolating the individual components, preservationists are better able to determine the condition of an object and those books and documents most in need of immediate protection. The simplest class of organic compounds is the hydrocarbons, which consist entirely of carbon and hydrogen. Petroleum and natural gas are complex, naturally occurring mixtures of many different hydrocarbons that furnish raw materials for the chemical industry. The four major classes of hydrocarbons are the alkanes, which contain only carbon�hydrogen and carbon�carbon single bonds; the alkenes, which contain at least one carbon�carbon double bond; the alkynes, which contain at least one carbon�carbon triple bond; and the aromatic hydrocarbons, which usually contain rings of six carbon atoms that can be drawn with alternating single and double bonds. Alkanes are also called saturated hydrocarbons, whereas hydrocarbons that contain multiple bonds (alkenes, alkynes, and aromatics) are unsaturated.",What are the four major classes of hydrocarbons?
"An allergy occurs when the immune system attacks a harmless substance that enters the body from the outside. A substance that causes an allergy is called an allergen. It is the immune system, not the allergen, that causes the symptoms of an allergy.",What is the immune system's response to a substance that causes an allergy?
"Because electricity can be so dangerous, safety features are built into modern electric circuits and devices. They include three-prong plugs, circuit breakers, and GFCI outlets. You can read about these three safety features in the Figure below . You can learn more about electric safety features in the home by watching the video at this URL: http://www. dailymotion. com/video/x6fg5i_basics-of-your-home-s-electrical-sy_school .",What are three safety features built into modern electric circuits and devices?
"Birds are endothermic tetrapod vertebrates. They are bipedal, which means they walk on two legs. Birds also lay amniotic eggs, and the eggs have hard, calcium carbonate shells. Although birds are the most recent class of vertebrates to evolve, they are now the most numerous vertebrates on Earth. Why have birds been so successful? What traits allowed them to increase and diversify so rapidly?.",What are some traits that allowed birds to increase and diversify rapidly?
Air pollution is harmful to human beings and other living things. About 22 million people die from air pollution each year. Breathing polluted air increases the risk of developing lung diseases such as asthma and lung cancer. Breathing bad air also increases the chances of dying from other diseases. Children are most likely to be affected by air pollution. That�s because their lungs are still developing and growing. Children also take in more air for their size than adults do. Some air pollutants damage the environment as well as the health of living things. The type of damage depends on the pollutant. Air pollution can also harm the environment.,What are the risks associated with breathing polluted air?
"There is not just one distinguishing feature that separates a living thing from a non-living thing. A cat moves but so does a car. A tree grows bigger, but so does a cloud. A cell has structure, but so does a crystal. Biologists define life by listing characteristics that living things share. Something that has all of the characteristics of life is considered to be alive. The duck decoy in Figure below may look like a duck, act like a duck in that it floats about, but it is not alive. The decoy cannot reproduce, respond to its environment, or breathe.",How do biologists define life?
"Colon The cecum blends seamlessly with the colon. Upon entering the colon, the food residue first travels up the ascending colon on the right side of the abdomen. At the inferior surface of the liver, the colon bends to form the right colic flexure (hepatic flexure) and becomes the transverse colon. The region defined as hindgut begins with the last third of the transverse colon and continues on. Food residue passing through the transverse colon travels across to the left side of the abdomen, where the colon angles sharply immediately inferior to the spleen, at the left colic flexure (splenic flexure). From there, food residue passes through the descending colon, which runs down the left side of the posterior abdominal wall. After entering the pelvis inferiorly, it becomes the s-shaped sigmoid colon, which extends medially to the midline (Figure 23.21). The ascending and descending colon, and the rectum (discussed next) are located in the retroperitoneum. The transverse and sigmoid colon are tethered to the posterior abdominal wall by the mesocolon.",What is the region defined as hindgut in the colon?
Atoms have a mass that is based largely on the number of protons and neutrons in their nucleus.,What determines the mass of an atom?
"Below the topsoil is the �B� horizon. This is also called the subsoil . Soluble minerals and clays accumulate in the subsoil. Because it has less organic material, this layer is lighter brown in color than topsoil. It also holds more water due to the presence of iron and clay. There is less organic material in this layer.",What is the layer below the topsoil called?
"After each mass extinction, new species evolve to fill the habitats where old species lived. This is well documented in the fossil record.",What happens to new species after each mass extinction?
"Some Eukarya are also single-celled, but many are multicellular. Some have a cell wall; others do not. However, the cells of all Eukarya have a nucleus and other organelles.",What do all Eukarya have in their cells?
"Cell division is just one of several stages that a cell goes through during its lifetime. The cell cycle is a repeating series of events that include growth, DNA synthesis, and cell division. The cell cycle in prokaryotes is quite simple: the cell grows, its DNA replicates, and the cell divides. In eukaryotes, the cell cycle is more complicated.",What are the events included in the cell cycle?
"Small nonpolar molecules can easily diffuse across the cell membrane. However, due to the hydrophobic nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot do so. Instead, they diffuse across the membrane through transport proteins. A transport protein completely spans the membrane, and allows certain molecules or ions to diffuse across the membrane. Channel proteins, gated channel proteins, and carrier proteins are three types of transport proteins that are involved in facilitated diffusion.",What types of proteins are involved in facilitated diffusion?
"Moving air, like moving water, causes erosion. Moving air is called wind.",What is moving air called?
"Some animals change their depth by changing their density. Recall that things that are denser than their surroundings sink while those that are less dense than their surroundings float. Most fish have a swim bladder, a special sac that is filled with gases from their blood. When the fish's swim bladder is full, it is less dense than the surrounding water and the fish will rise towards the surface. Another property of water that affects lakes is the unique changes in density during phase changes. The density of most substances increases when a liquid becomes a solid. This is not so for water: Solid water is actually less dense than liquid water. It is for this reason that ice floats. Can you imagine a world where ice sank? Lakes would freeze from the bottom up, killing many fish. Frozen water in the Polar Regions would sink and change the ocean levels. The fact that ice floats is essential for the survival of many aquatic ecosystems and ultimately life on Earth. Besides the changes in density, there are other ways in which the phase changes of water have significant impacts. When water is trapped in small cracks in rocks, it will expand as it freezes and break up the rock causing weathering. The transpiration (evaporation) of water from a good-sized tree can move 1800 liters of water out of the ground in a single day. Sublimation, the phase change between solid and gas, is responsible for the formation of frost. As you can see, water has many special properties that make its role in nature unique. It is considered the ""universal solvent� because its bipolar molecule enables it to dissolve a wide variety of substances. Water is the only substance that occurs naturally in all three states; solid, liquid, and gas. Water is truly a miracle for life!.",What is the unique property of water that allows ice to float?
"In some people, a food allergy can trigger a severe allergic reaction called anaphylaxis. Emergency treatment is critical for anaphylaxis. Untreated, anaphylaxis can cause a coma or death. Anaphylaxis is vary rare. The vast majority of people will never have an anaphylactic reaction. The life-threatening symptoms of anaphylaxis include:.",What can a food allergy trigger in some people?
The population growth rate is how fast a population is growing. The letter r stands for the growth rate. The growth rate equals the number of new members added to the population in a year for each 100 members already in the population. The growth rate includes new members added to the population and old members removed from the population. Births add new members to the population. Deaths remove members from the population. The formula for population growth rate is:.,What does the population growth rate include?
"Compared to Earth, the solar system is a big place. But galaxies are bigger - a lot bigger. A galaxy is a very large group of stars held together by gravity. How enormous a galaxy is and how many stars it contains are impossible for us to really understand. A galaxy contains up to a few billion stars! Our solar system is in the Milky Way Galaxy. It is so large that if our solar system were the size of your fist, the galaxy�s disk would be wider than the entire United States! There are several different types of galaxies, and there are billions of galaxies in the universe.",What is a galaxy?
"There are three main ocean zones based on distance from shore. They are the intertidal zone , neritic zone , and oceanic zone . Distance from shore influences how many nutrients are in the water. Why? Most nutrients are washed into ocean water from land. Therefore, water closer to shore tends to have more nutrients. Living things need nutrients. So distance from shore also influences how many organisms live in the water.",Why does distance from shore influence the amount of nutrients in the water?
"Less energy is needed to get renewable energy sources. Solar energy is a good example. Sunlight is everywhere, so no one needs to go out and find it. We don�t have to drill for it or pump it to the surface. We just need to install solar panels like the ones in Figure below and let sunlight strike them. The energy from the sunlight is changed to electricity. The electricity is used to power lights and appliances in the house. So solar energy doesn't have to be transported.",How is solar energy obtained and used?
The stored food in a seed is called endosperm . It nourishes the embryo until it can start making food on its own.,What is the name of the stored food in a seed that nourishes the embryo?
Rocks can break apart into smaller pieces in many ways. Ice wedging is common where water goes above and below its freezing point ( Figure below ). This can happen in winter in the mid-latitudes or in colder climates in summer. Ice wedging is common in mountainous regions like the Sierra Nevada pictured above.,Where is ice wedging common?
"Grain boundaries. As a polycrystalline material solidifies, grains with irregular shapes form. The interfaces between grains constitute grain boundaries. (Squares represent unit cells within grains.",What are the interfaces between grains called in a polycrystalline material?
"The Phosphorus Cycle Phosphorus is an essential nutrient for living processes; it is a major component of nucleic acids and phospholipids, and, as calcium phosphate, makes up the supportive components of our bones. Phosphorus is often the limiting nutrient (necessary for growth) in aquatic, particularly freshwater, ecosystems. Phosphorus occurs in nature as the phosphate ion (PO43-). In addition to phosphate runoff as a result of human activity, natural surface runoff occurs when it is leached from phosphate-containing rock by weathering, thus sending phosphates into rivers, lakes, and the ocean. This rock has its origins in the ocean. Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their excretions. However, volcanic ash, aerosols, and mineral dust may also be significant phosphate sources. This sediment then is moved to land over geologic time by the uplifting of Earth�s surface. (Figure 20.13) Phosphorus is also reciprocally exchanged between phosphate dissolved in the ocean and marine organisms. The movement of phosphate from the ocean to the land and through the soil is extremely slow, with the average phosphate ion having an oceanic residence time between 20,000 and 100,000 years.",What is the major component of nucleic acids and phospholipids?
"Like other spiral galaxies, our galaxy has a disk, a central bulge, and spiral arms. The disk is about 100,000 light-years across and 3,000 light-years thick. Most of the Galaxy�s gas, dust, young stars, and open clusters are in the disk.",What are the components of our galaxy?
"A pile of leaves slowly rots in the backyard. In the presence of oxygen, hydrogen can interact to make water. Gold can be stretched into very thin wires.",What can hydrogen interact with to make water?
Climate change in Earth history was due to natural processes. Recent global warming is due mainly to human actions. The burning of fossil fuels releases greenhouse gases into the air. This creates greater greenhouse effect and global warming.,What is the main cause of recent global warming?
"22.8 Torque on a Current Loop: Motors and Meters Motors are the most common application of magnetic force on current-carrying wires. Motors have loops of wire in a magnetic field. When current is passed through the loops, the magnetic field exerts torque on the loops, which rotates a shaft. Electrical energy is converted to mechanical work in the process. (See Figure 22.34.",What is the most common application of magnetic force on current-carrying wires?
"What is this intricate orb? It is the greatly magnified skeleton of single-celled ocean organisms call radiolarian. The skeleton is made of an element that is extremely common on Earth. In fact, it is the second most abundant element in Earth�s crust. It is also one of the most common elements in the entire universe. What is this important element? Its name is silicon, and it belongs to a class of elements called metalloids.",What is the name of the element that makes up the skeleton of radiolarian organisms?
"Homo sapiens is our species. We originated about 200,000 years ago in Africa. Evidence of a spiritual life appears about 32,000 years ago. The evidence includes stone figurines that probably have religious significance ( Figure below ).","""When did evidence of a spiritual life first appear?"""
"Viscosity (?) is the resistance of a liquid to flow. Some liquids, such as gasoline, ethanol, and water, flow very readily and hence have a low viscosity. Others, such as motor oil, molasses, and maple syrup, flow very slowly and have a high viscosity. The two most common methods for evaluating the viscosity of a liquid are (1) to measure the time it takes for a quantity of liquid to flow through a narrow vertical tube and (2) to measure the time it takes steel balls to fall through a given volume of the liquid. The higher the viscosity, the slower the liquid flows through the tube and the steel balls fall. Viscosity is expressed in units of the poise (mPa�s); the higher the number, the higher the viscosity. The viscosities of some representative liquids are listed in Table 11.4 ""Surface Tension, Viscosity, Vapor Pressure (at 25�C Unless Otherwise Indicated), and Normal Boiling Points of Common Liquids"" and show a correlation between viscosity and intermolecular forces. Because a liquid can flow only if the molecules can move past one another with minimal resistance, strong intermolecular attractive forces make it more difficult for molecules to move with respect to one another. The addition of a second hydroxyl group to ethanol, for example, which produces ethylene glycol (HOCH2CH2OH), increases the viscosity 15-fold. This effect is due to the increased number of hydrogen bonds that can form between hydroxyl groups in adjacent molecules, resulting in dramatically stronger intermolecular attractive forces.",What are the two most common methods for evaluating the viscosity of a liquid?
"Enzymes are critical to the body�s healthy functioning. They assist, for example, with the breakdown of food and its conversion to energy. In fact, most of the chemical reactions in the body are facilitated by enzymes.",What do enzymes assist with in the body?
"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of CnH2n+2. The number of carbon atoms present in an alkane has no limit. Greater numbers of atoms in the molecules will lead to stronger intermolecular attractions (dispersion forces) and correspondingly different physical properties of the molecules. Properties such as melting point and boiling point (Table 20.1) usually change smoothly and predictably as the number of carbon and hydrogen atoms in the molecules change. Properties of Some Alkanes[3] Alkane.","""What are all alkanes composed of and what is their formula?"""
"Agents of Decomposition The fungus-like protist saprobes are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes. For instance, many types of oomycetes grow on dead animals or algae. Saprobic protists have the essential function of returning inorganic nutrients to the soil and water. This process allows for new plant growth, which in turn generates sustenance for other organisms along the food chain. Indeed, without saprobe species, such as protists, fungi, and bacteria, life would cease to exist as all organic carbon became �tied up� in dead organisms.",What is the function of saprobic protists in an ecosystem?
Biogeography is the study of how and why plants and animals live where they do. It provides more evidence for evolution. Let�s consider the camel family as an example.,What does biogeography study and provide evidence for?
"called growth factors signal some cells at the edge of the ectoderm to become epidermis cells. The remaining cells in the center form the neural plate. If the signaling by growth factors were disrupted, then the entire ectoderm would differentiate into neural tissue. The neural plate undergoes a series of cell movements where it rolls up and forms a tube called the neural tube, as illustrated in Figure 43.28. In further development, the neural tube will give rise to the brain and the spinal cord.",What happens if the signaling by growth factors is disrupted in the ectoderm?
Divergent plate boundaries produce huge mountain ranges under water in every ocean basin.,What do divergent plate boundaries produce under water in every ocean basin?
"The Energy Cycle Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down carbohydrate molecules. But if plants make carbohydrate molecules, why would they need to break them down, especially when it has been shown that the gas organisms release as a �waste product� (CO2) acts as a substrate for the formation of more food in photosynthesis? Remember, living things need energy to perform life functions. In addition, an organism can either make its own food or eat another organism�either way, the food still needs to be broken down. Finally, in the process of breaking down food, called cellular respiration, heterotrophs release needed energy and produce �waste� in the form of CO2 gas. In nature, there is no such thing as waste. Every single atom of matter and energy is conserved, recycling over and over infinitely. Substances change form or move from one type of molecule to another, but their constituent atoms never disappear (Figure 8.20). CO2 is no more a form of waste than oxygen is wasteful to photosynthesis. Both are byproducts of reactions that move on to other reactions. Photosynthesis absorbs light energy to build carbohydrates in chloroplasts, and aerobic cellular respiration releases energy by using oxygen to metabolize carbohydrates in the cytoplasm and mitochondria. Both processes use electron transport chains to capture the energy necessary to drive other reactions. These two powerhouse processes, photosynthesis and cellular respiration, function in biological, cyclical harmony to allow organisms to access life-sustaining energy that originates millions of miles away in a burning star humans call the sun.",What are the two powerhouse processes that allow organisms to access life-sustaining energy?
The concentration of an acid or base can be determined by titration.,How can the concentration of an acid or base be determined?
Immovable joints allow no movement because the bones at these joints are held securely together by dense collagen . The bones of the skull are connected by immovable joints.,What holds the bones together at immovable joints?
"Skeletal system problems include osteoporosis, bone fractures, and ligament sprains. A diet rick in calcium and vitamin D may reduce the risk of osteoporosis and related bone fractures. Following safe practices may also reduce the risk of fractures as well as sprains.",What are some problems related to the skeletal system?
"Mirrors are made from highly reflective metal that is applied to a curved or flat piece of glass. Converging mirrors can be used to focus light � headlights, telescopes, satellite TV receivers, and solar cookers all rely on this principle.",What are mirrors made from?
"To grow and develop, you must form new cells. Imagine how often your cells must divide during a growth spurt. Growing just an inch requires countless cell divisions. Your body must produce new bone cells, new skin cells, new cells in your blood vessels and so on.",What must your body produce in order to grow and develop?
"There are 20 amino acids that make up proteins. With three bases per codon, there are 64 possible codons. This is more than enough to code for the 20 amino acids plus start and stop signals. You can see how to translate the genetic code in Figure below . Start at the center of the chart for the first base of each three-base codon. Then work your way out from the center for the second and third bases.",How many possible codons are there in the genetic code?
One type of radioactivity is alpha emission. What is an alpha particle? What happens to an alpha particle after it is emitted from an unstable nucleus?.,"""What is an alpha particle and what happens to it after it is emitted from an unstable nucleus?"""
One idea is that evolution happens. Evolution is a change in the inherited traits of organisms over time. Living things have changed as descendants diverged from common ancestors in the past.,What is evolution?
Red litmus paper turns blue when placed in a basic solution.,What color does red litmus paper turn when placed in a basic solution?
"temperatures with electropositive metals such as those of groups 1 and 2 and aluminum produces ionic carbides, which contain discrete metal cations and carbon anions. The identity of the anions depends on the size of the second element. For example, smaller elements such as beryllium and aluminum give methides such as Be2C and Al4C3, which formally contain the C4- ion derived from methane (CH4) by losing all four H atoms as protons. In contrast, larger metals such as sodium and calcium give carbides with stoichiometries of Na2C2 and CaC2. Because these carbides contain the C4- ion, which is derived from acetylene (HC=CH) by losing both H atoms as protons, they are more properly called acetylides. As discussed in Chapter 21 ""Periodic Trends and the "", Section 21.4 ""The Alkaline Earth Metals (Group 2)"", reacting ionic carbides with dilute aqueous acid results in protonation of the anions to give the parent hydrocarbons: CH4 or C2H2. For many years, miners� lamps used the reaction of calcium carbide with water to produce a steady supply of acetylene, which was ignited to provide a portable lantern. The reaction of carbon with most transition metals at high temperatures produces interstitial carbides. Due to the less electropositive nature of the transition metals, these carbides contain covalent metal� carbon interactions, which result in different properties: most interstitial carbides are good conductors of electricity, have high melting points, and are among the hardest substances known. Interstitial carbides exhibit a variety of nominal compositions, and they are often nonstoichiometric compounds whose carbon content can vary over a wide range. Among the most important are tungsten carbide (WC), which is used industrially in high-speed cutting tools, and cementite (Fe3C), which is a major component of steel. Elements with an electronegativity similar to that of carbon form covalent carbides, such as silicon carbide (SiC; Equation 22.15) and boron carbide (B4C). These substances are extremely hard, have high melting points, and are chemically inert. For example, silicon carbide is highly resistant to chemical attack at temperatures as high as 1600�C. Because it also maintains its strength at high temperatures, silicon carbide is used in heating elements for electric furnaces and in variable-temperature resistors.",What are the properties of interstitial carbides?
Ulcers are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections. They may also be caused by the acidic environment of the stomach. Stomach acids may damage the lining of the stomach. Symptoms typically include abdominal pain and bleeding. You can see how stomach ulcers develop at this link: http://www. youtube. com/watch?v=4bXZRgJ-1fk .,What are stomach ulcers usually caused by?
"Bases are ionic compounds that produce negative hydroxide ions (OH - ) when dissolved in water. An ionic compound contains positive metal ions and negative nonmetal ions held together by ionic bonds. (Ions are atoms that have become charged particles because they have either lost or gained electrons. ) An example of a base is sodium hydroxide (NaOH). When it dissolves in water, it produces negative hydroxide ions and positive sodium ions (Na + ). This can be represented by the equation:.",What are the ions produced when a base is dissolved in water?
"Mesophiles grow best in moderate temperature, typically between 25�C and 40�C (77�F and 104�F). Mesophiles are often found living in or on the bodies of humans or other animals. The optimal growth temperature of many pathogenic mesophiles is 37�C (98�F), the normal human body temperature. Mesophilic organisms have important uses in food preparation, including cheese, yogurt, beer and wine.",What temperature range do mesophiles typically grow best in?
"Ring species Ring species demonstrate a version of allopatric speciation. Imagine populations of the species A. Over the geographic range of A there exist a number of subpopulations. These subpopulations (A1 to A5) and (Aa to Ae) have limited regions of overlap with one another but where they overlap they interbreed successfully. But populations A5 and Ae no longer interbreed successfully � are these populations separate species?� In this case, there is no clear-cut answer, but it is likely that in the link between the various populations will be broken and one or more species may form in the future. Consider the black bear Ursus americanus. Originally distributed across all of North America, its distribution is now much more fragmented. Isolated populations are free to adapt to their own particular environments and migration between populations is limited. Clearly the environment in Florida is different from that in Mexico, Alaska, or Newfoundland. Different environments will favor different adaptations. If, over time, these populations were to come back into contact with one another, they might or might not be able to interbreed successfully - reproductive isolation may occur and one species may become many.",What is an example of allopatric speciation?
"Internal Respiration Internal respiration is gas exchange that occurs at the level of body tissues (Figure 22.23). Similar to external respiration, internal respiration also occurs as simple diffusion due to a partial pressure gradient. However, the partial pressure gradients are opposite of those present at the respiratory membrane. The partial pressure of oxygen in tissues is low, about 40 mm Hg, because oxygen is continuously used for cellular respiration. In contrast, the partial pressure of oxygen in the blood is about 100 mm Hg. This creates a pressure gradient that causes oxygen to dissociate from hemoglobin, diffuse out of the blood, cross the interstitial space, and enter the tissue. Hemoglobin that has little oxygen bound to it loses much of its brightness, so that blood returning to the heart is more burgundy in color. Considering that cellular respiration continuously produces carbon dioxide, the partial pressure of carbon dioxide is lower in the blood than it is in the tissue, causing carbon dioxide to diffuse out of the tissue, cross the interstitial fluid, and enter the blood. It is then carried back to the lungs either bound to hemoglobin, dissolved in plasma, or in a converted form. By the time blood returns to the heart, the partial pressure of oxygen has returned to about 40 mm Hg, and the partial pressure.",What is the process of gas exchange that occurs at the level of body tissues called?
